"Reference","Value","Footprint","myMANUFACTURER","myMPN"
"C1","1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A105KO5NNNC"
"C2","1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A105KO5NNNC"
"C3","1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A105KO5NNNC"
"C4","4.7u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A475MP5NRNC"
"C5","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C6","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C7","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C8","4.7u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A475MP5NRNC"
"C9","0.8p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Murata Electronics","GJM1555C1HR80WB01D"
"C10","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C11","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C12","12p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C120J5GACTU"
"C13","12p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","KEMET","C0402C120J5GACTU"
"C14","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C15","1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A105KO5NNNC"
"C16","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C17","4.7u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A475MP5NRNC"
"C18","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C19","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"C21","1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05A105KO5NNNC"
"C22","0.1u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","Samsung Electro-Mechanics","CL05B104KP5NNNC"
"J1","Conn_01x01","Connector_Wire:SolderWirePad_1x01_SMD_1x2mm","",""
"J2","Conn_01x01","Connector_Wire:SolderWirePad_1x01_SMD_1x2mm","",""
"J3","Conn_01x02","SR_Library:Charging_Pad","",""
"J4","Conn_01x05","SR_Library:SWD_Pad","",""
"L1","3.9n","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","Murata Electronics","LQG15HS3N9S02D"
"R1","40K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","Stackpole Electronics Inc","RNCF0402BTE40K0"
"R4","10K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-0710KL"
"R6","4.7K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-0710KL"
"R7","4.7K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-0710KL"
"R8","10K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","YAGEO","RC0402FR-0710KL"
"U1","MCP73831-2-OT","Package_TO_SOT_SMD:SOT-23-5","Microchip Technology","MCP73831T-2ACI/OT"
"U2","NRF52810-QCAA-T","SR_Library:QFN32_5X5_NOR","Nordic Semiconductor ASA","NRF52810-QCAA-T"
"U3","ICM-42670-P","SR_Library:LGA14_2.5X3X0.76_IVS","TDK InvenSense","ICM-42670-P"
"U4","TPS78233DDC","Package_TO_SOT_SMD:SOT-23-5","Texas Instruments","TPS78233DDCT"
"U5","MAX30102","OptoDevice:Maxim_OLGA-14_3.3x5.6mm_P0.8mm","Analog Devices Inc./Maxim Integrated","MAX30102EFD+T"
"U6","2450AT18A100E","SR_Library:2450AT18A100E_JOT","Johanson Technology Inc.","2450AT18B0100001E"
"Y2","ECS-320-8-37-CKM-TR","SR_Library:XTAL_ECS-320-8-37-CKM-TR","ECS Inc.","ECS-320-10-37B-CKY-TR"
